Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,A-LEAF1,Ethernet1,192.168.0.1/31,spine,A-SPINE1,Ethernet1,192.168.0.0/31
l3leaf,A-LEAF1,Ethernet2,192.168.0.3/31,spine,A-SPINE2,Ethernet1,192.168.0.2/31
l3leaf,A-LEAF1,Ethernet3,192.168.0.5/31,spine,A-SPINE3,Ethernet1,192.168.0.4/31
l3leaf,A-LEAF1,Ethernet4,192.168.0.7/31,spine,A-SPINE4,Ethernet1,192.168.0.6/31
l3leaf,A-LEAF2,Ethernet1,192.168.0.9/31,spine,A-SPINE1,Ethernet2,192.168.0.8/31
l3leaf,A-LEAF2,Ethernet2,192.168.0.11/31,spine,A-SPINE2,Ethernet2,192.168.0.10/31
l3leaf,A-LEAF2,Ethernet3,192.168.0.13/31,spine,A-SPINE3,Ethernet2,192.168.0.12/31
l3leaf,A-LEAF2,Ethernet4,192.168.0.15/31,spine,A-SPINE4,Ethernet2,192.168.0.14/31
l3leaf,A-LEAF3,Ethernet1,192.168.0.17/31,spine,A-SPINE1,Ethernet3,192.168.0.16/31
l3leaf,A-LEAF3,Ethernet2,192.168.0.19/31,spine,A-SPINE2,Ethernet3,192.168.0.18/31
l3leaf,A-LEAF3,Ethernet3,192.168.0.21/31,spine,A-SPINE3,Ethernet3,192.168.0.20/31
l3leaf,A-LEAF3,Ethernet4,192.168.0.23/31,spine,A-SPINE4,Ethernet3,192.168.0.22/31
l3leaf,A-LEAF4,Ethernet1,192.168.0.25/31,spine,A-SPINE1,Ethernet4,192.168.0.24/31
l3leaf,A-LEAF4,Ethernet2,192.168.0.27/31,spine,A-SPINE2,Ethernet4,192.168.0.26/31
l3leaf,A-LEAF4,Ethernet3,192.168.0.29/31,spine,A-SPINE3,Ethernet4,192.168.0.28/31
l3leaf,A-LEAF4,Ethernet4,192.168.0.31/31,spine,A-SPINE4,Ethernet4,192.168.0.30/31
l3leaf,A-LEAF5,Ethernet1,192.168.0.33/31,spine,A-SPINE1,Ethernet5,192.168.0.32/31
l3leaf,A-LEAF5,Ethernet2,192.168.0.35/31,spine,A-SPINE2,Ethernet5,192.168.0.34/31
l3leaf,A-LEAF5,Ethernet3,192.168.0.37/31,spine,A-SPINE3,Ethernet5,192.168.0.36/31
l3leaf,A-LEAF5,Ethernet4,192.168.0.39/31,spine,A-SPINE4,Ethernet5,192.168.0.38/31
l3leaf,A-LEAF6,Ethernet1,192.168.0.41/31,spine,A-SPINE1,Ethernet6,192.168.0.40/31
l3leaf,A-LEAF6,Ethernet2,192.168.0.43/31,spine,A-SPINE2,Ethernet6,192.168.0.42/31
l3leaf,A-LEAF6,Ethernet3,192.168.0.45/31,spine,A-SPINE3,Ethernet6,192.168.0.44/31
l3leaf,A-LEAF6,Ethernet4,192.168.0.47/31,spine,A-SPINE4,Ethernet6,192.168.0.46/31
l3leaf,A-LEAF7,Ethernet1,192.168.0.49/31,spine,A-SPINE1,Ethernet7,192.168.0.48/31
l3leaf,A-LEAF7,Ethernet2,192.168.0.51/31,spine,A-SPINE2,Ethernet7,192.168.0.50/31
l3leaf,A-LEAF7,Ethernet3,192.168.0.53/31,spine,A-SPINE3,Ethernet7,192.168.0.52/31
l3leaf,A-LEAF7,Ethernet4,192.168.0.55/31,spine,A-SPINE4,Ethernet7,192.168.0.54/31
l3leaf,A-LEAF8,Ethernet1,192.168.0.57/31,spine,A-SPINE1,Ethernet8,192.168.0.56/31
l3leaf,A-LEAF8,Ethernet2,192.168.0.59/31,spine,A-SPINE2,Ethernet8,192.168.0.58/31
l3leaf,A-LEAF8,Ethernet3,192.168.0.61/31,spine,A-SPINE3,Ethernet8,192.168.0.60/31
l3leaf,A-LEAF8,Ethernet4,192.168.0.63/31,spine,A-SPINE4,Ethernet8,192.168.0.62/31
