Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,B-LEAF1,Ethernet1,9.9.9.1/31,spine,B-SPINE1,Ethernet1,9.9.9.0/31
l3leaf,B-LEAF1,Ethernet2,9.9.9.3/31,spine,B-SPINE2,Ethernet1,9.9.9.2/31
l3leaf,B-LEAF1,Ethernet3,9.9.9.5/31,spine,B-SPINE3,Ethernet1,9.9.9.4/31
l3leaf,B-LEAF1,Ethernet4,9.9.9.7/31,spine,B-SPINE4,Ethernet1,9.9.9.6/31
l3leaf,B-LEAF2,Ethernet1,9.9.9.9/31,spine,B-SPINE1,Ethernet2,9.9.9.8/31
l3leaf,B-LEAF2,Ethernet2,9.9.9.11/31,spine,B-SPINE2,Ethernet2,9.9.9.10/31
l3leaf,B-LEAF2,Ethernet3,9.9.9.13/31,spine,B-SPINE3,Ethernet2,9.9.9.12/31
l3leaf,B-LEAF2,Ethernet4,9.9.9.15/31,spine,B-SPINE4,Ethernet2,9.9.9.14/31
l3leaf,B-LEAF3,Ethernet1,9.9.9.17/31,spine,B-SPINE1,Ethernet3,9.9.9.16/31
l3leaf,B-LEAF3,Ethernet2,9.9.9.19/31,spine,B-SPINE2,Ethernet3,9.9.9.18/31
l3leaf,B-LEAF3,Ethernet3,9.9.9.21/31,spine,B-SPINE3,Ethernet3,9.9.9.20/31
l3leaf,B-LEAF3,Ethernet4,9.9.9.23/31,spine,B-SPINE4,Ethernet3,9.9.9.22/31
l3leaf,B-LEAF4,Ethernet1,9.9.9.25/31,spine,B-SPINE1,Ethernet4,9.9.9.24/31
l3leaf,B-LEAF4,Ethernet2,9.9.9.27/31,spine,B-SPINE2,Ethernet4,9.9.9.26/31
l3leaf,B-LEAF4,Ethernet3,9.9.9.29/31,spine,B-SPINE3,Ethernet4,9.9.9.28/31
l3leaf,B-LEAF4,Ethernet4,9.9.9.31/31,spine,B-SPINE4,Ethernet4,9.9.9.30/31
l3leaf,B-LEAF5,Ethernet1,9.9.9.33/31,spine,B-SPINE1,Ethernet5,9.9.9.32/31
l3leaf,B-LEAF5,Ethernet2,9.9.9.35/31,spine,B-SPINE2,Ethernet5,9.9.9.34/31
l3leaf,B-LEAF5,Ethernet3,9.9.9.37/31,spine,B-SPINE3,Ethernet5,9.9.9.36/31
l3leaf,B-LEAF5,Ethernet4,9.9.9.39/31,spine,B-SPINE4,Ethernet5,9.9.9.38/31
l3leaf,B-LEAF6,Ethernet1,9.9.9.41/31,spine,B-SPINE1,Ethernet6,9.9.9.40/31
l3leaf,B-LEAF6,Ethernet2,9.9.9.43/31,spine,B-SPINE2,Ethernet6,9.9.9.42/31
l3leaf,B-LEAF6,Ethernet3,9.9.9.45/31,spine,B-SPINE3,Ethernet6,9.9.9.44/31
l3leaf,B-LEAF6,Ethernet4,9.9.9.47/31,spine,B-SPINE4,Ethernet6,9.9.9.46/31
l3leaf,B-LEAF7,Ethernet1,9.9.9.49/31,spine,B-SPINE1,Ethernet7,9.9.9.48/31
l3leaf,B-LEAF7,Ethernet2,9.9.9.51/31,spine,B-SPINE2,Ethernet7,9.9.9.50/31
l3leaf,B-LEAF7,Ethernet3,9.9.9.53/31,spine,B-SPINE3,Ethernet7,9.9.9.52/31
l3leaf,B-LEAF7,Ethernet4,9.9.9.55/31,spine,B-SPINE4,Ethernet7,9.9.9.54/31
l3leaf,B-LEAF8,Ethernet1,9.9.9.57/31,spine,B-SPINE1,Ethernet8,9.9.9.56/31
l3leaf,B-LEAF8,Ethernet2,9.9.9.59/31,spine,B-SPINE2,Ethernet8,9.9.9.58/31
l3leaf,B-LEAF8,Ethernet3,9.9.9.61/31,spine,B-SPINE3,Ethernet8,9.9.9.60/31
l3leaf,B-LEAF8,Ethernet4,9.9.9.63/31,spine,B-SPINE4,Ethernet8,9.9.9.62/31
