Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,B-LEAF1,Ethernet1,spine,B-SPINE1,Ethernet1,True
l3leaf,B-LEAF1,Ethernet2,spine,B-SPINE2,Ethernet1,True
l3leaf,B-LEAF1,Ethernet3,spine,B-SPINE3,Ethernet1,True
l3leaf,B-LEAF1,Ethernet4,spine,B-SPINE4,Ethernet1,True
l3leaf,B-LEAF1,Ethernet7,network_port,HostG,,True
l3leaf,B-LEAF1,Ethernet8,network_port,HostH,,True
l3leaf,B-LEAF2,Ethernet1,spine,B-SPINE1,Ethernet2,True
l3leaf,B-LEAF2,Ethernet2,spine,B-SPINE2,Ethernet2,True
l3leaf,B-LEAF2,Ethernet3,spine,B-SPINE3,Ethernet2,True
l3leaf,B-LEAF2,Ethernet4,spine,B-SPINE4,Ethernet2,True
l3leaf,B-LEAF2,Ethernet7,network_port,HostG,,True
l3leaf,B-LEAF2,Ethernet8,network_port,HostH,,True
l3leaf,B-LEAF3,Ethernet1,spine,B-SPINE1,Ethernet3,True
l3leaf,B-LEAF3,Ethernet2,spine,B-SPINE2,Ethernet3,True
l3leaf,B-LEAF3,Ethernet3,spine,B-SPINE3,Ethernet3,True
l3leaf,B-LEAF3,Ethernet4,spine,B-SPINE4,Ethernet3,True
l3leaf,B-LEAF3,Ethernet7,network_port,HostI,,True
l3leaf,B-LEAF3,Ethernet8,network_port,HostJ,,True
l3leaf,B-LEAF4,Ethernet1,spine,B-SPINE1,Ethernet4,True
l3leaf,B-LEAF4,Ethernet2,spine,B-SPINE2,Ethernet4,True
l3leaf,B-LEAF4,Ethernet3,spine,B-SPINE3,Ethernet4,True
l3leaf,B-LEAF4,Ethernet4,spine,B-SPINE4,Ethernet4,True
l3leaf,B-LEAF4,Ethernet7,network_port,HostK,,True
l3leaf,B-LEAF4,Ethernet8,network_port,HostJ,,True
l3leaf,B-LEAF5,Ethernet1,spine,B-SPINE1,Ethernet5,True
l3leaf,B-LEAF5,Ethernet2,spine,B-SPINE2,Ethernet5,True
l3leaf,B-LEAF5,Ethernet3,spine,B-SPINE3,Ethernet5,True
l3leaf,B-LEAF5,Ethernet4,spine,B-SPINE4,Ethernet5,True
l3leaf,B-LEAF5,Ethernet7,,,,True
l3leaf,B-LEAF6,Ethernet1,spine,B-SPINE1,Ethernet6,True
l3leaf,B-LEAF6,Ethernet2,spine,B-SPINE2,Ethernet6,True
l3leaf,B-LEAF6,Ethernet3,spine,B-SPINE3,Ethernet6,True
l3leaf,B-LEAF6,Ethernet4,spine,B-SPINE4,Ethernet6,True
l3leaf,B-LEAF6,Ethernet7,,,,True
l3leaf,B-LEAF7,Ethernet1,spine,B-SPINE1,Ethernet7,True
l3leaf,B-LEAF7,Ethernet2,spine,B-SPINE2,Ethernet7,True
l3leaf,B-LEAF7,Ethernet3,spine,B-SPINE3,Ethernet7,True
l3leaf,B-LEAF7,Ethernet4,spine,B-SPINE4,Ethernet7,True
l3leaf,B-LEAF7,Ethernet7,other,BB1,Ethernet3,True
l3leaf,B-LEAF7,Ethernet8,other,BB2,Ethernet3,True
l3leaf,B-LEAF8,Ethernet1,spine,B-SPINE1,Ethernet8,True
l3leaf,B-LEAF8,Ethernet2,spine,B-SPINE2,Ethernet8,True
l3leaf,B-LEAF8,Ethernet3,spine,B-SPINE3,Ethernet8,True
l3leaf,B-LEAF8,Ethernet4,spine,B-SPINE4,Ethernet8,True
l3leaf,B-LEAF8,Ethernet7,other,BB1,Ethernet4,True
l3leaf,B-LEAF8,Ethernet8,other,BB2,Ethernet4,True
spine,B-SPINE1,Ethernet1,l3leaf,B-LEAF1,Ethernet1,True
spine,B-SPINE1,Ethernet2,l3leaf,B-LEAF2,Ethernet1,True
spine,B-SPINE1,Ethernet3,l3leaf,B-LEAF3,Ethernet1,True
spine,B-SPINE1,Ethernet4,l3leaf,B-LEAF4,Ethernet1,True
spine,B-SPINE1,Ethernet5,l3leaf,B-LEAF5,Ethernet1,True
spine,B-SPINE1,Ethernet6,l3leaf,B-LEAF6,Ethernet1,True
spine,B-SPINE1,Ethernet7,l3leaf,B-LEAF7,Ethernet1,True
spine,B-SPINE1,Ethernet8,l3leaf,B-LEAF8,Ethernet1,True
spine,B-SPINE2,Ethernet1,l3leaf,B-LEAF1,Ethernet2,True
spine,B-SPINE2,Ethernet2,l3leaf,B-LEAF2,Ethernet2,True
spine,B-SPINE2,Ethernet3,l3leaf,B-LEAF3,Ethernet2,True
spine,B-SPINE2,Ethernet4,l3leaf,B-LEAF4,Ethernet2,True
spine,B-SPINE2,Ethernet5,l3leaf,B-LEAF5,Ethernet2,True
spine,B-SPINE2,Ethernet6,l3leaf,B-LEAF6,Ethernet2,True
spine,B-SPINE2,Ethernet7,l3leaf,B-LEAF7,Ethernet2,True
spine,B-SPINE2,Ethernet8,l3leaf,B-LEAF8,Ethernet2,True
spine,B-SPINE3,Ethernet1,l3leaf,B-LEAF1,Ethernet3,True
spine,B-SPINE3,Ethernet2,l3leaf,B-LEAF2,Ethernet3,True
spine,B-SPINE3,Ethernet3,l3leaf,B-LEAF3,Ethernet3,True
spine,B-SPINE3,Ethernet4,l3leaf,B-LEAF4,Ethernet3,True
spine,B-SPINE3,Ethernet5,l3leaf,B-LEAF5,Ethernet3,True
spine,B-SPINE3,Ethernet6,l3leaf,B-LEAF6,Ethernet3,True
spine,B-SPINE3,Ethernet7,l3leaf,B-LEAF7,Ethernet3,True
spine,B-SPINE3,Ethernet8,l3leaf,B-LEAF8,Ethernet3,True
spine,B-SPINE4,Ethernet1,l3leaf,B-LEAF1,Ethernet4,True
spine,B-SPINE4,Ethernet2,l3leaf,B-LEAF2,Ethernet4,True
spine,B-SPINE4,Ethernet3,l3leaf,B-LEAF3,Ethernet4,True
spine,B-SPINE4,Ethernet4,l3leaf,B-LEAF4,Ethernet4,True
spine,B-SPINE4,Ethernet5,l3leaf,B-LEAF5,Ethernet4,True
spine,B-SPINE4,Ethernet6,l3leaf,B-LEAF6,Ethernet4,True
spine,B-SPINE4,Ethernet7,l3leaf,B-LEAF7,Ethernet4,True
spine,B-SPINE4,Ethernet8,l3leaf,B-LEAF8,Ethernet4,True
l2leaf,B-SW1,Ethernet1,,,,True
l2leaf,B-SW1,Ethernet2,,,,True
l2leaf,B-SW1,Ethernet3,network_port,HostL,,True
l2leaf,B-SW1,Ethernet4,network_port,HostM,,True
