test_id,node,test_category,test_description,test,result,failure_reason
1,B-LEAF1,NTP,Synchronised with NTP server,NTP,PASS,
2,B-LEAF2,NTP,Synchronised with NTP server,NTP,PASS,
3,B-LEAF3,NTP,Synchronised with NTP server,NTP,PASS,
4,B-LEAF4,NTP,Synchronised with NTP server,NTP,PASS,
5,B-LEAF5,NTP,Synchronised with NTP server,NTP,PASS,
6,B-LEAF6,NTP,Synchronised with NTP server,NTP,PASS,
7,B-LEAF7,NTP,Synchronised with NTP server,NTP,PASS,
8,B-LEAF8,NTP,Synchronised with NTP server,NTP,PASS,
9,B-SPINE1,NTP,Synchronised with NTP server,NTP,PASS,
10,B-SPINE2,NTP,Synchronised with NTP server,NTP,PASS,
11,B-SPINE3,NTP,Synchronised with NTP server,NTP,PASS,
12,B-SPINE4,NTP,Synchronised with NTP server,NTP,PASS,
13,B-SW1,NTP,Synchronised with NTP server,NTP,PASS,
14,B-LEAF1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_B-SPINE1_Ethernet1,PASS,
15,B-LEAF1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_B-SPINE2_Ethernet1,PASS,
16,B-LEAF1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_B-SPINE3_Ethernet1,PASS,
17,B-LEAF1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_B-SPINE4_Ethernet1,PASS,
18,B-LEAF1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - HostG,PASS,
19,B-LEAF1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet8 - HostH,PASS,
20,B-LEAF2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_B-SPINE1_Ethernet2,PASS,
21,B-LEAF2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_B-SPINE2_Ethernet2,PASS,
22,B-LEAF2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_B-SPINE3_Ethernet2,PASS,
