test_id,node,test_category,test_description,test,result,failure_reason
1,C-LEAF1,NTP,Synchronised with NTP server,NTP,PASS,
2,C-LEAF2,NTP,Synchronised with NTP server,NTP,PASS,
3,C-LEAF3,NTP,Synchronised with NTP server,NTP,PASS,
4,C-LEAF4,NTP,Synchronised with NTP server,NTP,PASS,
5,C-LEAF5,NTP,Synchronised with NTP server,NTP,PASS,
6,C-LEAF6,NTP,Synchronised with NTP server,NTP,PASS,
7,C-LEAF7,NTP,Synchronised with NTP server,NTP,PASS,
8,C-LEAF8,NTP,Synchronised with NTP server,NTP,PASS,
9,C-SPINE1,NTP,Synchronised with NTP server,NTP,PASS,
10,C-SPINE2,NTP,Synchronised with NTP server,NTP,PASS,
11,C-LEAF1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - MLAG_PEER_C-LEAF2_Ethernet5,PASS,
12,C-LEAF1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - MLAG_PEER_C-LEAF2_Ethernet6,PASS,
13,C-LEAF1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_C-SPINE1_Ethernet1,PASS,
14,C-LEAF1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_C-SPINE2_Ethernet1,PASS,
15,C-LEAF1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - HostN_NIC1,PASS,
16,C-LEAF2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - MLAG_PEER_C-LEAF1_Ethernet5,PASS,
17,C-LEAF2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - MLAG_PEER_C-LEAF1_Ethernet6,PASS,
18,C-LEAF2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_C-SPINE1_Ethernet2,PASS,
19,C-LEAF2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_C-SPINE2_Ethernet2,PASS,
20,C-LEAF2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - HostN_NIC2,PASS,
21,C-LEAF3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - MLAG_PEER_C-LEAF4_Ethernet5,PASS,
22,C-LEAF3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - MLAG_PEER_C-LEAF4_Ethernet6,PASS,
23,C-LEAF3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_C-SPINE1_Ethernet3,PASS,
24,C-LEAF3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_C-SPINE2_Ethernet3,PASS,
25,C-LEAF3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - HostO_NIC1,PASS,
26,C-LEAF3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet8 - HostP_NIC1,PASS,
27,C-LEAF4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - MLAG_PEER_C-LEAF3_Ethernet5,PASS,
28,C-LEAF4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - MLAG_PEER_C-LEAF3_Ethernet6,PASS,
29,C-LEAF4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_C-SPINE1_Ethernet4,PASS,
30,C-LEAF4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_C-SPINE2_Ethernet4,PASS,
31,C-LEAF4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet8 - HostP_NIC2,PASS,
32,C-LEAF4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - HostQ_NIC1,PASS,
33,C-LEAF5,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - MLAG_PEER_C-LEAF6_Ethernet5,PASS,
34,C-LEAF5,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - MLAG_PEER_C-LEAF6_Ethernet6,PASS,
35,C-LEAF5,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_C-SPINE1_Ethernet5,PASS,
36,C-LEAF5,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_C-SPINE2_Ethernet5,PASS,
37,C-LEAF5,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - HostR_NIC1,PASS,
38,C-LEAF5,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet8 - HostS_NIC1,PASS,
39,C-LEAF6,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - MLAG_PEER_C-LEAF5_Ethernet5,PASS,
40,C-LEAF6,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - MLAG_PEER_C-LEAF5_Ethernet6,PASS,
41,C-LEAF6,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_C-SPINE1_Ethernet6,PASS,
42,C-LEAF6,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_C-SPINE2_Ethernet6,PASS,
43,C-LEAF6,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - HostR_NIC2,PASS,
44,C-LEAF6,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet8 - HostS_NIC2,PASS,
45,C-LEAF7,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - MLAG_PEER_C-LEAF8_Ethernet5,PASS,
46,C-LEAF7,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - MLAG_PEER_C-LEAF8_Ethernet6,PASS,
47,C-LEAF7,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_C-SPINE1_Ethernet7,PASS,
48,C-LEAF7,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_C-SPINE2_Ethernet7,PASS,
49,C-LEAF7,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - P2P_LINK_TO_BB1_Ethernet5,PASS,
50,C-LEAF7,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet8 - P2P_LINK_TO_BB2_Ethernet5,PASS,
51,C-LEAF8,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - MLAG_PEER_C-LEAF7_Ethernet5,PASS,
52,C-LEAF8,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - MLAG_PEER_C-LEAF7_Ethernet6,PASS,
53,C-LEAF8,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_C-SPINE1_Ethernet8,PASS,
54,C-LEAF8,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_C-SPINE2_Ethernet8,PASS,
55,C-LEAF8,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - P2P_LINK_TO_BB1_Ethernet6,PASS,
56,C-LEAF8,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet8 - P2P_LINK_TO_BB2_Ethernet6,PASS,
57,C-SPINE1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_C-LEAF1_Ethernet1,PASS,
58,C-SPINE1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_C-LEAF2_Ethernet1,PASS,
59,C-SPINE1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_C-LEAF3_Ethernet1,PASS,
60,C-SPINE1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_C-LEAF4_Ethernet1,PASS,
61,C-SPINE1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_C-LEAF5_Ethernet1,PASS,
62,C-SPINE1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - P2P_LINK_TO_C-LEAF6_Ethernet1,PASS,
63,C-SPINE1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - P2P_LINK_TO_C-LEAF7_Ethernet1,PASS,
64,C-SPINE1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet8 - P2P_LINK_TO_C-LEAF8_Ethernet1,PASS,
65,C-SPINE2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_C-LEAF1_Ethernet2,PASS,
66,C-SPINE2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_C-LEAF2_Ethernet2,PASS,
67,C-SPINE2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_C-LEAF3_Ethernet2,PASS,
68,C-SPINE2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_C-LEAF4_Ethernet2,PASS,
69,C-SPINE2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_C-LEAF5_Ethernet2,PASS,
70,C-SPINE2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - P2P_LINK_TO_C-LEAF6_Ethernet2,PASS,
71,C-SPINE2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - P2P_LINK_TO_C-LEAF7_Ethernet2,PASS,
72,C-SPINE2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet8 - P2P_LINK_TO_C-LEAF8_Ethernet2,PASS,
73,C-LEAF1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1000 - MLAG_PEER_C-LEAF2_Po1000,PASS,
74,C-LEAF1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel7 - HostN,PASS,
75,C-LEAF2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1000 - MLAG_PEER_C-LEAF1_Po1000,PASS,
76,C-LEAF2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel7 - HostN,PASS,
77,C-LEAF3,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1000 - MLAG_PEER_C-LEAF4_Po1000,PASS,
78,C-LEAF3,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel8 - HostP,PASS,
79,C-LEAF4,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1000 - MLAG_PEER_C-LEAF3_Po1000,PASS,
80,C-LEAF4,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel8 - HostP,PASS,
81,C-LEAF5,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1000 - MLAG_PEER_C-LEAF6_Po1000,PASS,
82,C-LEAF5,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel7 - HostR,PASS,
83,C-LEAF5,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel8 - HostS,PASS,
